Space Name,Count of Space Name,Frequency,,,Space Name,Count of Space Name,Frequency
Atlantic Ave,1523,2.54%,,,Atlantic Ave,1472,2.45%
B & O Railroad,1707,2.85%,,,B & O Railroad,1699,2.83%
Baltic Ave,1237,2.06%,,,Baltic Ave,1185,1.98%
Boardwalk,1434,2.39%,,,Boardwalk,1402,2.34%
Chance #1,1260,2.10%,,,Chance #1,1262,2.10%
Chance #2,1565,2.61%,,,Chance #2,1594,2.66%
Chance #3,1306,2.18%,,,Chance #3,1292,2.15%
Community Chest #1,1151,1.92%,,,Community Chest #1,1224,2.04%
Community Chest #2,1586,2.64%,,,Community Chest #2,1604,2.67%
Community Chest #3,1498,2.50%,,,Community Chest #3,1475,2.46%
Connecticut Ave,1316,2.19%,,,Connecticut Ave,1280,2.13%
Electric Company,1315,2.19%,,,Electric Company,1323,2.21%
Free Parking,1644,2.74%,,,Free Parking,1620,2.70%
Go,1698,2.83%,,,Go,1743,2.91%
Go To Jail,1481,2.47%,,,Go To Jail,1453,2.42%
Illinois Ave,1768,2.95%,,,Illinois Ave,1795,2.99%
Income Tax,1260,2.10%,,,Income Tax,1279,2.13%
Indiana Ave,1513,2.52%,,,Indiana Ave,1485,2.48%
Jail,3606,6.01%,,,Jail,3451,5.75%
Kentucky Ave,1554,2.59%,,,Kentucky Ave,1585,2.64%
Luxury Tax,1221,2.04%,,,Luxury Tax,1254,2.09%
Marvin Gardens,1447,2.41%,,,Marvin Gardens,1445,2.41%
Mediterranean Ave,1206,2.01%,,,Mediterranean Ave,1210,2.02%
New York Ave,1635,2.73%,,,New York Ave,1660,2.77%
North Carolina Ave,1514,2.52%,,,North Carolina Ave,1467,2.45%
Oriental Ave,1258,2.10%,,,Oriental Ave,1273,2.12%
Pacific Ave,1483,2.47%,,,Pacific Ave,1474,2.46%
Park Place,1189,1.98%,,,Park Place,1158,1.93%
Pennsylvania Ave,1423,2.37%,,,Pennsylvania Ave,1397,2.33%
Pennsylvania Railroad,1605,2.68%,,,Pennsylvania Railroad,1641,2.74%
Reading Railroad,1575,2.63%,,,Reading Railroad,1642,2.74%
Short Line,1329,2.22%,,,Short Line,1343,2.24%
St. Charles Place,1498,2.50%,,,St. Charles Place,1532,2.55%
St. James Place,1599,2.67%,,,St. James Place,1584,2.64%
States Ave,1308,2.18%,,,States Ave,1391,2.32%
Tennessee Ave,1666,2.78%,,,Tennessee Ave,1577,2.63%
Ventnor Ave,1588,2.65%,,,Ventnor Ave,1510,2.52%
Vermont Ave,1204,2.01%,,,Vermont Ave,1325,2.21%
Virginia Ave,1381,2.30%,,,Virginia Ave,1441,2.40%
Water Works,1449,2.42%,,,Water Works,1453,2.42%
,,,,,Grand Total,60000,
