Space Name,Count,Percent
Atlantic Ave,1523,2.45%
B & O Railroad,1707,2.83%
Baltic Ave,1237,1.98%
Boardwalk,1434,2.34%
Chance #1,1260,2.10%
Chance #2,1565,2.66%
Chance #3,1306,2.15%
Community Chest #1,1151,2.04%
Community Chest #2,1586,2.67%
Community Chest #3,1498,2.46%
Connecticut Ave,1316,2.13%
Electric Company,1315,2.21%
Free Parking,1644,2.70%
Go,1698,2.91%
Go To Jail,1481,2.42%
Illinois Ave,1768,2.99%
Income Tax,1260,2.13%
Indiana Ave,1513,2.48%
Jail,3606,5.75%
Kentucky Ave,1554,2.64%
Luxury Tax,1221,2.09%
Marvin Gardens,1447,2.41%
Mediterranean Ave,1206,2.02%
New York Ave,1635,2.77%
North Carolina Ave,1514,2.45%
Oriental Ave,1258,2.12%
Pacific Ave,1483,2.46%
Park Place,1189,1.93%
Pennsylvania Ave,1423,2.33%
Pennsylvania Railroad,1605,2.74%
Reading Railroad,1575,2.74%
Short Line,1329,2.24%
St. Charles Place,1498,2.55%
St. James Place,1599,2.64%
States Ave,1308,2.32%
Tennessee Ave,1666,2.63%
Ventnor Ave,1588,2.52%
Vermont Ave,1204,2.21%
Virginia Ave,1381,2.40%
Water Works,1449,2.42%
,,
Atlantic Ave,1537,2.54%
B & O Railroad,1683,2.85%
Baltic Ave,1227,2.06%
Boardwalk,1419,2.39%
Chance #1,1297,2.10%
Chance #2,1505,2.61%
Chance #3,1280,2.18%
Community Chest #1,1238,1.92%
Community Chest #2,1599,2.64%
Community Chest #3,1501,2.50%
Connecticut Ave,1291,2.19%
Electric Company,1339,2.19%
Free Parking,1572,2.74%
Go,1702,2.83%
Go To Jail,1425,2.47%
Illinois Ave,1772,2.95%
Income Tax,1324,2.10%
Indiana Ave,1524,2.52%
Jail,3447,6.01%
Kentucky Ave,1589,2.59%
Luxury Tax,1194,2.04%
Marvin Gardens,1455,2.41%
Mediterranean Ave,1137,2.01%
New York Ave,1730,2.73%
North Carolina Ave,1486,2.52%
Oriental Ave,1232,2.10%
Pacific Ave,1516,2.47%
Park Place,1245,1.98%
Pennsylvania Ave,1413,2.37%
Pennsylvania Railroad,1626,2.68%
Reading Railroad,1658,2.63%
Short Line,1366,2.22%
St. Charles Place,1492,2.50%
St. James Place,1511,2.67%
States Ave,1282,2.18%
Tennessee Ave,1631,2.78%
Ventnor Ave,1473,2.65%
Vermont Ave,1281,2.01%
Virginia Ave,1498,2.30%
Water Works,1503,2.42%
,,
Atlantic Ave,1472,2.45%
B & O Railroad,1699,2.83%
Baltic Ave,1185,1.98%
Boardwalk,1402,2.34%
Chance #1,1262,2.10%
Chance #2,1594,2.66%
Chance #3,1292,2.15%
Community Chest #1,1224,2.04%
Community Chest #2,1604,2.67%
Community Chest #3,1475,2.46%
Connecticut Ave,1280,2.13%
Electric Company,1323,2.21%
Free Parking,1620,2.70%
Go,1743,2.91%
Go To Jail,1453,2.42%
Illinois Ave,1795,2.99%
Income Tax,1279,2.13%
Indiana Ave,1485,2.48%
Jail,3451,5.75%
Kentucky Ave,1585,2.64%
Luxury Tax,1254,2.09%
Marvin Gardens,1445,2.41%
Mediterranean Ave,1210,2.02%
New York Ave,1660,2.77%
North Carolina Ave,1467,2.45%
Oriental Ave,1273,2.12%
Pacific Ave,1474,2.46%
Park Place,1158,1.93%
Pennsylvania Ave,1397,2.33%
Pennsylvania Railroad,1641,2.74%
Reading Railroad,1642,2.74%
Short Line,1343,2.24%
St. Charles Place,1532,2.55%
St. James Place,1584,2.64%
States Ave,1391,2.32%
Tennessee Ave,1577,2.63%
Ventnor Ave,1510,2.52%
Vermont Ave,1325,2.21%
Virginia Ave,1441,2.40%
Space Name,Count,Percent
Atlantic Ave,1523,2.45%
B & O Railroad,1707,2.83%
Baltic Ave,1237,1.98%
Boardwalk,1434,2.34%
Chance #1,1260,2.10%
Chance #2,1565,2.66%
Chance #3,1306,2.15%
Community Chest #1,1151,2.04%
Community Chest #2,1586,2.67%
Community Chest #3,1498,2.46%
Connecticut Ave,1316,2.13%
Electric Company,1315,2.21%
Free Parking,1644,2.70%
Go,1698,2.91%
Go To Jail,1481,2.42%
Illinois Ave,1768,2.99%
Income Tax,1260,2.13%
Indiana Ave,1513,2.48%
Jail,3606,5.75%
Kentucky Ave,1554,2.64%
Luxury Tax,1221,2.09%
Marvin Gardens,1447,2.41%
Mediterranean Ave,1206,2.02%
New York Ave,1635,2.77%
North Carolina Ave,1514,2.45%
Oriental Ave,1258,2.12%
Pacific Ave,1483,2.46%
Park Place,1189,1.93%
Pennsylvania Ave,1423,2.33%
Pennsylvania Railroad,1605,2.74%
Reading Railroad,1575,2.74%
